Khoa,Ngành,Tên môn học,Hard skills
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Marketing điện tử,"Digital Marketing, Online Advertising, Marketing Analytics"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Thiết kế hệ thống TMĐT,"E-Commerce Systems, System Design, Online Platforms"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Quản trị quan hệ khách hàng và nhà cung cấp,"CRM, SRM, Customer Data Management"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Hệ thống thanh toán trực tuyến,"Online Payment Systems, Payment Gateway, Fintech"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Quản trị dự án TMĐT,"E-Commerce Project Management, Agile, Scrum"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Pháp luật trong TMĐT,"E-Commerce Law, Digital Compliance, Data Protection"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,An toàn và bảo mật TMĐT,"E-Commerce Security, Payment Security, Fraud Prevention"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Hoạch định nguồn lực doanh nghiệp,"ERP, Resource Planning, Business Integration"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Nhập môn quản trị chuỗi cung ứng,"Supply Chain Management, Logistics, Demand Planning"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Nguyên lý kế toán,"Accounting Principles, Financial Reporting, Bookkeeping"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Quản trị tài chính doanh nghiệp,"Corporate Finance, Financial Analysis, Budgeting"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Quản trị bán hàng,"Sales Management, Sales Analytics, CRM Systems"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Quản trị doanh nghiệp,"Business Management, Strategic Planning, Operations Management"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Tối ưu hóa công cụ tìm kiếm trong TMĐT,"SEO, E-Commerce SEO, Conversion Optimization"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Hoạch định nguồn lực doanh nghiệp,"ERP, BPMN, Business Process, SAP, Resource Planning"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Phân tích thiết kế hệ thống thông tin,"UML, Use Case, System Analysis, Requirement Analysis, SRS"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Hệ quản trị cơ sở dữ liệu,"SQL, Database Design, Normalization, Transaction, Indexing"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Quản lý dự án công nghệ thông tin,"Project Management, Agile, Scrum, Jira, Risk Management"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Lập trình Java,"Java, OOP, JDBC, Multithreading, Design Patterns"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Phát triển ứng dụng web,"HTML, CSS, JavaScript, PHP, REST API"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Phát triển ứng dụng trên thiết bị di động,"Android, Mobile UI/UX, API Integration, Firebase, App Lifecycle"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Cơ sở dữ liệu phân tán,"Distributed Database, Replication, Sharding, Consistency, CAP Theorem"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Dữ liệu lớn,"Big Data, Hadoop, Spark, HDFS, Data Pipeline"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Khai thác dữ liệu,"Data Mining, Classification, Clustering, Association Rules, Feature Engineering"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Kho dữ liệu và OLAP,"Data Warehouse, ETL, OLAP, Star Schema, Snowflake Schema"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Phân tích dữ liệu kinh doanh,"Business Analytics, KPI, Dashboard, Power BI, Data Visualization"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Quản trị nguồn lực y tế,"Healthcare Management, Hospital Information System, Resource Optimization, Health Data"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Quản lý dự án công nghệ thông tin y tế,"Health IT Project, HIS, EMR, Compliance, Risk Management"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Dịch tễ học,"Epidemiology, Disease Modeling, Statistical Analysis, Surveillance Data"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Hệ thống y tế,"Healthcare Systems, Health Policy, Medical Information System, Health Data Management"
